Codi	Concepte
61	CONTRIBUCIONS ESPECIALS
62	IVA REDUÏT
63	IVA
64	SANCIONS DIVERSES
65	TAXA PER ÚS SEPULTURES
66	TAXA TINENÇA GOSSOS
67	INTERESSOS DE DEMORA
68	RECÀRREC DE CONSTRENYIMENT
69	MÀQUINES DE JOC
6A	EXECUCIONS SUBSIDIÀRIES
6B	EXECUCIONS SUBSIDIÀRIES
70	ALTA VEHICLES TRACCIÓ MECÀNICA
71	ALTRES INGRESSOS NO TRIBUTARIS
72	INGRESSOS TRIBUTARIS-8
73	ALTRES INGRESSOS TRIBUTARIS
74	TAXA GARANTIA SUBMINISTRAMENT
75	CÀNON INFRASTRUCT.HIDRÀULICA
76	OBRES PÚBLIQUES
77	ALTRES DIPUTACIONS
78	C. T. URBANA
79	IMPOST VEHICLES-VELOMOTORS
80	RECÀRREC MANCOMUNITAT
81	ELIMINACIÓ I TRACTAMENT RESID.
82	ABONARÉS
83	ABONARÉS
84	INGRESSOS TRIBUTARIS-6
85	INGRESSOS TRIBUTARIS-7
86	QUOTES URBANÍSTIQUES
87	INGRESSOS NO TRIBUTARIS 2
88	LLICÈNCIA DE PRIMERA OCUPACIÓ
89	INGRESSOS TRIBUTARIS 2
8A	QUOTA DE REHABILITACIÓ
8B	QUOTA DE REHABILITACIÓ
8C	QUOTA DE REHABILITACIÓ
8D	QUOTA DE REHABILITACIÓ
8E	QUOTA DE REHABILITACIÓ
8F	QUOTA DE REHABILITACIÓ
8G	QUOTA DE REHABILITACIÓ
8H	QUOTA DE REHABILITACIÓ
8I	QUOTA DE REHABILITACIÓ
8J	QUOTA DE REHABILITACIÓ
8K	QUOTA DE REHABILITACIÓ
8L	QUOTA DE REHABILITACIÓ
8M	QUOTA DE REHABILITACIÓ
8N	QUOTA DE REHABILITACIÓ
8O	QUOTA DE REHABILITACIÓ
8P	QUOTA DE REHABILITACIÓ
8Q	QUOTA DE REHABILITACIÓ
8R	QUOTA DE REHABILITACIÓ
8S	QUOTA DE REHABILITACIÓ
8T	QUOTA DE REHABILITACIÓ
8U	QUOTA DE REHABILITACIÓ
8V	QUOTA DE REHABILITACIÓ
8W	QUOTA DE REHABILITACIÓ
8X	QUOTA DE REHABILITACIÓ
8Y	QUOTA DE REHABILITACIÓ
8Z	QUOTA DE REHABILITACIÓ
90	TRIBUTS LOCALS AGRUPATS
91	TRIBUTS LOCALS AGRUPATS
92	TRIBUTS LOCALS AGRUPATS
93	TRIBUTS LOCALS AGRUPATS
94	TRIBUTS LOCALS AGRUPATS
95	TRIBUTS LOCALS AGRUPATS
96	TRIBUTS LOCALS AGRUPATS
97	CAMBRA PROPIETAT URBANA
98	CAMBRA DE COMERÇ
99	CONCEPTE DEV.HISTÒRIC
9A	QUOTA DE REHABILITACIÓ
9B	QUOTA DE REHABILITACIÓ
9C	QUOTA DE REHABILITACIÓ
9D	QUOTA DE REHABILITACIÓ
9E	QUOTA DE REHABILITACIÓ
9F	QUOTA DE REHABILITACIÓ
9G	QUOTA DE REHABILITACIÓ
9H	QUOTA DE REHABILITACIÓ
A1	CONCESSIONS ADMINISTRATIVES
A2	CONCESSIONS ADMINISTRATIVES
A3	CONCESSIONS ADMINISTRATIVES
A4	CONCESSIONS ADMINISTRATIVES
A5	CONCESSIONS ADMINISTRATIVES
A6	CONCESSIONS ADMINISTRATIVES
A7	CONCESSIONS ADMINISTRATIVES
A8	CONCESSIONS ADMINISTRATIVES
AA	PP SERVEI ACOLLIDA ANIMALS DOM
AB	TAXA ABOCAMENTS INDUSTRIALS
AC	TAXA ANIMALS DE COMPANYIA
AD	ASSISTÈNCIA DOMICILIÀRIA
AE	TAXA EXHIBICIÓ D'ANUNCIS
AI	ALTRES INGRESSOS DRET PÚBLIC
AJ	PP ACTIVITATS PER A JOVES
AL	PREU PÚBLIC MANTENIMENT ALARMA
AM	TX RECOLLIDA ANIMALS MORTS VP
AN	PREU PÚBLIC PER ANUNCIS
AP	PREU PÚBLIC SERVEIS ÀPATS
AS	TAXA AUTORITZACIÓ SANITÀRIA
AT	PP TARGETA ABONAMENT TRANSPORT
BC	TAXA APARCAMENTS BICICLETES
BE	TAXA ZONA BAIXES EMISSIONS
BI	IBI CARACTERÍSTIQUES ESPECIALS
BS	TAXA PER SERVEI DE BÚSTIES
BT	PREU PÚBLIC BOTIGA DE TURISME
BU	PP BÚSTIES MUNICIPALS
BV	TAXA BAIXA DEFINITIVA VEHICLES
C1	CONCESSIONS ADMINISTRATIVES
C2	CONCESSIONS ADMINISTRATIVES
C3	CONCESSIONS ADMINISTRATIVES
C4	CONCESSIONS ADMINISTRATIVES
C5	CONCESSIONS ADMINISTRATIVES
C6	CONCESSIONS ADMINISTRATIVES
C7	CONCESSIONS ADMINISTRATIVES
C8	CONCESSIONS ADMINISTRATIVES
C9	CONCESSIONS ADMINISTRATIVES
CA	CONCESSIONS ADMINISTRATIVES
CC	PP CONNEXIÓ CLAVEGUERAM
CD	PREU PÚBLIC CASAL
CE	TAXA SERVEI CASAL D'ESTIU
CG	CÀNON REGANTS
CH	CÀNON HORTS
CJ	COSTES JUDICIALS
CM	SERVEI CASAMENTS
CN	CÀNON DE L'AIGUA
CO	SERVEIS CONSTRUCCIONS VP
CP	CÀNON PIROTÈCNIA
CR	COSTES PROCEDIMENT EXECUTIU
CS	PREU PÚBLIC CURSOS
CW	PREU PÚBLIC CURS
CX	PREU PÚBLIC CURS
D1	TAXA EXPEDICIÓ DOCUMENTS
D2	TAXA EXPEDICIÓ DOCUMENTS
D3	TAXA EXPEDICIÓ DOCUMENTS
D4	TAXA EXPEDICIÓ DOCUMENTS
DE	TAXA PER DRETS D'EXAMEN
DO	PP SERVEI DE LA DONA
DS	TAXA DESPLAÇAMENT ENLLUMENAT
E1	ACTIVITATS FÍSIQUES I ESPORTS
E2	PP INSTAL.LACIONS ESPORTIVES
E3	TX UTILITZACIÓ CENTRE ESPORTIU
EA	ESCOLA D'ART
EC	TAXA PER L'ESCUT MUNICIPAL
ED	ESCOLA DE DANSA
EE	PREU PÚBLIC ENTRADA ESPECTACLE
EI	TAXA EXPEDICIÓ INFORME
EL	PP SERV.ENERG.MUNICIPAL. MOD B
EM	PREU PÚBLIC ESCOLA DE MÚSICA
EN	PP SERVEIS ENSENYAMENT
EO	TAXA EXPEDIENT OBRES
ES	PREU PÚBLIC ESTADES
ET	TX APROF ESP: EMP.TRANSP. E.E.
EV	TAXA ESTACIONAMENT VEHICLES
FE	TX SERVEIS MANTENIMENT FRANGES
FI	PP SERVEIS MANTENIMENT FRANGES
FM	PP SERVEIS FIRES I MERCATS
FS	TX ABOCAMENT AIGÜES RESIDUALS
FT	ESCOLA MUNICIPAL DE FÚTBOL
G0	PP MENJADOR SOCIAL
G1	PP MENJADOR SOCIAL
G2	PP MENJADOR SOCIAL
G3	PP MENJADOR SOCIAL
G4	PP MENJADOR SOCIAL
G5	PP MENJADOR SOCIAL
G6	PP MENJADOR SOCIAL
G7	PP MENJADOR SOCIAL
G8	PP MENJADOR SOCIAL
G9	PP MENJADOR SOCIAL
GG	PP SERVEI VACANCES GENT GRAN
GR	PP ACTIVITATS PER LA GENT GRAN
IA	TX INTERVENCIÓ ACTIVITATS
IM	INDEMNITZACIÓ PER DANYS
IN	INDEMNITZACIÓ PER DANYS
IR	TX APR.ESP INSTAL. ENERG.RENOV
J1	TX RESIDUS DOMÈSTICS -VARIABLE
J2	TX RESIDUS COMERCIALS VARIABLE
LB	TAXA SERVEI LABORATORI
LI	PP SERVEI LLAR D'INFANTS
LM	PP SERVEI LABORATORI MUNICIPAL
M1	TAXA MERCAT MUNICIPAL
M2	TAXA MERCAT MUNICIPAL
M3	TAXA MERCAT MUNICIPAL
M4	TAXA MERCAT MUNICIPAL
M5	TAXA MERCAT MUNICIPAL
M6	TAXA MERCAT MUNICIPAL
M7	TAXA MERCAT MUNICIPAL
M8	TAXA MERCAT MUNICIPAL
MA	TAXA PARADES MERCAT AMBULANT
MC	MULTES COERCITIVES
MJ	SERVEI MENJADOR
MK	MULTES COERCITIVES
MM	TX DELS MUSEUS MUNICIPALS
MS	MERCAT SETMANAL
MT	MULTA PER INFRACCIÓ DE TRÀNSIT
MV	MERCAT SETMANAL
MW	TAXA MERCAT SETMANAL
NT	PREST. PATRIM. NO TRIBUTÀRIES
O1	TAXA O.V.P.TAULES I CADIRES
O2	TAXA OCUP. RÈTOLS INDICATIUS
O3	TAXA OCUP. QUIOSCS MARQUESINES
O4	TAXA INSTAL.LACIÓ PLATJA
O5	TAXA PER ALTRES PARADES
O6	TX OBERTURA SONDATGES O RASES
O7	TX OCUPACIÓ TERRENYS ÚS PÚBLIC
O8	TX PARADES EN TERRENYS ÚS PBL
O9	TX RESERVA ESPAI APARCAMENT VP
OC	TX OCUPACIÓ VP INSTAL. CAIXERS
OF	TAXA OCUPACIÓ VP FESTES
OM	TAXA LLIC. URB. - OBRES MAJORS
OO	TX APROFITAMENT VP ACTIVITATS
P1	PREU PÚBLIC PROMOCIÓ ECONÒMICA
PA	PP SERVEI ACOLLIDA
PB	TX PUBLICACIÓ ANUNCIS BUTLLETÍ
PC	TX SERVEI PLANTA COMPOSTATGE
PE	PP SERVEI PUBLICITAT EMISSORA
PF	TX SERVEI PLANTA TRANSFERÈNCIA
PI	TAXA PISCINA MUNICIPAL
PL	TAXA PRESTACIONS POLICIA LOCAL
PM	PP PER SERVEIS DE MOBILITAT
PP	PREU PÚBLIC PISCINA MUNICIPAL
PQ	TAXA UTILITZACIO DE PLAQUES
PR	PP SERVEIS A LES PERSONES
PT	PP PER PUBLICITAT A LA TV
Q1	SUBSTITUCIÓ DINERÀRIA APROF UR
Q2	QUOTES URBANÍSTIQUES
Q3	QUOTES URBANÍSTIQUES
QR	QUOTES DE REHABILITACIÓ
QU	QUOTES URBANÍSTIQUES
R1	TAXA ESCOMBRARIES MERCAT
R2	TAXA ESCOMBRARIES MERCAT
R3	TAXA ESCOMBRARIES MERCAT
R4	TAXA ESCOMBRARIES MERCAT
R5	TAXA ESCOMBRARIES MERCAT
R6	TAXA ESCOMBRARIES MERCAT
R7	TAXA ESCOMBRARIES MERCAT
R8	TAXA ESCOMBRARIES MERCAT
RA	TX ASSISTÈNCIA RESIDÈNCIA AVIS
RC	RENOVACIÓ CONCESSIÓ
RD	TX REPRODUCCIÓ DOCUMENTS
RE	TAXA RESTES DE JARDINERIA
RF	TAXA RESTES VEGETALS -BRUTÍCIA
RI	RECÀRREC IBI
RM	TX ESCOMBRARIES MERCAT
RO	TAXA RETIRADA OBJECTES VP
RT	REINTEGRAMENT
RW	REINTEGRAMENT
RX	REINTEGRAMENT
RY	REINTEGRAMENT
RZ	REINTEGRAMENT
S1	SANCIONS URBANÍSTIQUES
S2	SANCIONS DIVERSES
S3	SANCIONS DIVERSES
S4	SANCIONS DIVERSES
S5	SANCIONS DIVERSES
S6	SANCIONS DIVERSES
S7	SANCIONS DIVERSES
S8	SANCIONS DIVERSES
S9	SANCIONS DIVERSES
SA	PP PER SERVEI D'ANTENA
SB	TX PRESTACIÓ SERV. AMBIENTALS
SC	PREU PÚBLIC SERVEIS CULTURALS
SD	PREU PÚBLIC SERVEI DEIXALLERIA
SE	TX PRESTACIÓ SERVEIS EDUCATIUS
SI	PP SERVEI DE PSICOLOGIA
SJ	PP SERVEI JOVENTUT I INFÀNCIA
SK	TX PRESTACIÓ SERVEIS INFÀNCIA
SM	TX PRESTACIÓ SERVEIS MUNICIPAL
SP	TAXA SERVEIS DE SALUT PÚBLICA
SQ	PREU PÚBLIC SAQUES I CUBELLS
SR	PP SERV RECOLLIDA VOLUMINOSOS
SS	TAXA PRESTACIÓ SERVEIS SOCIALS
ST	SANCIONS TRIBUTÀRIES
SU	ALTRES SERVEIS URBANÍSTICS
SV	PP SERVEI VENDA LLIBRES I PUBL
T1	TAXA SERVEI TRACTAMENT RESIDUS
TA	SERVEI DE TELEASSISTÈNCIA
TD	PP TRANSPORT DISCAPACITAT
TG	PP TRANSPORT ADAPTAT
TM	TRIBUT METROPOLITÀ
TN	INSTAL. ESPORTIVES - TENNIS
TR	TAXA SERVEI TRANSPORT
TU	TAXA TRAMIT.INSTRUM.URBANÍSTIC
TV	SERVEI TELEVISIÓ PER CABLE
U1	TAXA UTILITZACIÓ DELS HORTS
U2	UTILITZACIÓ DEPENDÈNCIA MUN
U3	TAXA UTILITZACIÓ DEIXALLERIA M
U4	TX  USOS SOCIALS CENTRE DOCENT
U5	TAXA UTILITZACIO SERV CULTURAL
U6	CENTRE DE DIA
U7	TX UTILITZACIÓ INSTAL.LACIONS
U8	TX REALIT.ACTIVITATS CULTURALS
U9	TX UTILITZACIÓ EQUIPAMENTS M
UC	PP ÚS CENTRE EDUCATIU
UP	PP ÚS PATÍ CENTRE CULTURAL
UT	PREU PÚBLIC SALA ASSAIG
V1	TX LLICÈNCIA OCUPACIÓ VP
V2	TAXA ESTACIONAMENT VEHICLES
V3	TAXA ESTACIONAMENT VEHICLES
V8	TAXA DIPÒSIT DE VEHICLES MPAL
V9	TX RETIRADA I IMMOB. VEHICLES
VE	PP VIGILÀNCIA ESPECIAL
XC	PP CENTRES CÍVICS
